id;date;name;count;price
1;2019-12-13;Cotton;49262;25368
2;2019-12-13;Parkway Handmade Wooden Cheese;11752;82279
3;2019-12-13;synthesize Idaho Markets;37487;47771
4;2019-12-13;EXE;22359;43633
5;2019-12-12;Industrial Designer Incredible Fresh Car;52770;92464
6;2019-12-12;Gorgeous Rubber Chicken Associate Central African Republic;62939;21680
7;2019-12-13;Wells;62755;69692
8;2019-12-13;Legacy Unbranded Plastic Chips;95041;5786
9;2019-12-13;Court Money Market Account;27738;16967
10;2019-12-13;Junctions one-to-one;58365;26593
