id;name;price;color;material;size;shop_address;count
1;1080p indigo Bacon;16426;mint green;Programmable payment National;HDD;Tanzanian Shilling Lights;71378
2;Central Money Market Account;53978;ivory;Borders Grass-roots;disintermediate Mali Unbranded Concrete Soap;Cotton Tactics;62770
3;cross-media Wooden optical;62007;tan;reboot South Carolina;Cheese orchestration Robust;Steel salmon application;49398
4;navigate Licensed Bosnia and Herzegovina;37882;fuchsia;Rubber syndicate;Cameroon Bedfordshire models;driver payment Mexican Peso Mexican Unidad de Inversion (UDI);54272
5;Persistent transparent Chips;90845;pink;Intuitive vortals;Communications;Customer;13911
6;Generic Advanced;72609;cyan;Security Virginia;solid state Clothing deposit;Maine Checking Account markets;73644
7;Configuration;92556;azure;Wooden Visionary;hacking;programming;33214
8;instruction set Persistent Investment Account;37930;green;sticky neural Kids;Cotton relationships;Chief web-enabled interactive;73750
9;Path Assimilated Unions;14085;white;Missouri;web-readiness;frame multi-byte modular;22009
10;olive;51517;mint green;Division Towels applications;Zimbabwe;Bedfordshire;59538
