id;address;time;name;phone
1;holistic;Architect;Beauty dynamic schemas;621-190-8994 x7569
2;Unbranded SCSI;Rustic Steel Shirt drive;Ways Liaison engage;1-339-885-8040 x4120
3;Refined;haptic Producer Agent;Rhode Island capacitor;832.242.1292 x6228
4;calculate Fantastic Concrete Computer Baby;Kyrgyz Republic transmit;solution connecting;508.745.1404 x77667
5;cyan Rubber Industrial;Home Loan Account withdrawal;partnerships International;1-554-793-2658
6;Data Granite Configuration;compress Practical Steel Chips;Berkshire concept;523-051-4151 x4166
7;Chicken;e-business RSS;Rand Soap;208.132.3100
8;Granite Island;Regional;Bedfordshire;(300) 746-6058 x1930
9;systemic;Handmade Savings Account Manager;cultivate Bedfordshire;735-477-0012 x1768
10;Buckinghamshire Antarctica (the territory South of 60 deg S) Refined;back-end enhance;optimal;105.382.0351
